,question,subject,main_entity,image_url
0,This building is located in,Space Needle,This building,./A photo of Space Needle
1,This mountain is located in the continent of,Vinson Massif,This mountain,./A photo of Vinson Massif
2,This service is owned by,Beats Music,This service,./A photo of Beats Music
3,This company is owned by,Audible.com,This company,./A photo of Audible.com
4,This show premieres on,The Big Bang Theory,This show,./A photo of The Big Bang Theory
5,"This application, a product created by",MacApp,"This application,",./A photo of MacApp
6,"This artist, who has a citizenship of",Giuseppe Angeli,"This artist,",./A photo of Giuseppe Angeli
7,This region belongs to the continent of,Catalonia,This region,./A photo of Catalonia
8,"In this place, the language spoken is a mixture of",Marshall Islands,"this place,",./A photo of Marshall Islands
9,This executive is employed by,Leslie Moonves,This executive,./A photo of Leslie Moonves
10,This text's original language is the same as the,De finibus bonorum et malorum,This text's,./A photo of De finibus bonorum et malorum
11,This glacier belongs to the continent of,Kirkpatrick Glacier,This glacier,./A photo of Kirkpatrick Glacier
12,The headquarter of this organization is in,Army of the Guardians of the Islamic Revolution,this organization,./A photo of Army of the Guardians of the Islamic Revolution
13,"This newspaper was written in the early 1980s, when the",Il Gazzettino,This newspaper,./A photo of Il Gazzettino
14,"This software, developed by the",Xamarin,"This software,",./A photo of Xamarin
15,This person was born in the city of,Eavan Boland,This person,./A photo of Eavan Boland
16,This song is written in,Comme j'ai mal,This song,./A photo of Comme j'ai mal
17,The language used by this person is a bit different from the language used by the,Juan Bautista de Anza,this person,./A photo of Juan Bautista de Anza
18,This show debuted on,Alfred Hitchcock Presents,This show,./A photo of Alfred Hitchcock Presents
19,This operating system is developed by a consortium of companies including,Tizen,This operating,./A photo of Tizen
20,This athlete professionally plays the sport of,Honus Wagner,This athlete,./A photo of Honus Wagner
21,"This film genre, that originated in",samurai cinema,This film,./A photo of samurai cinema
22,The capital of this place is,Roman Republic,this place,./A photo of Roman Republic
23,This person was born in the city of,Henri Debain,This person,./A photo of Henri Debain
24,This person is a citizen of,Adriano Celentano,This person,./A photo of Adriano Celentano
25,This team is a member of the,Czech Republic national football team,This team,./A photo of Czech Republic national football team
26,This software is developed by,Windows Media Player,This software,./A photo of Windows Media Player
27,This file system is developed by,NTFS,This file,./A photo of NTFS
28,This prince passed away in the year of,"Knud, Hereditary Prince of Denmark",This prince,"./A photo of Knud, Hereditary Prince of Denmark"
29,This person professionally plays the sport of,Don Shula,This person,./A photo of Don Shula
30,The language of this newspaper was a mixture of,El Mercurio,this newspaper,./A photo of El Mercurio
31,This character is affiliated with the,Iron Man,This character,./A photo of Iron Man
32,The location of this institution is in,Massachusetts Institute of Technology,this institution,./A photo of Massachusetts Institute of Technology
33,This country belongs to the continent of,Vietnam,This country,./A photo of Vietnam
34,This show premiered on,The Tonight Show with Jay Leno,This show,./A photo of The Tonight Show with Jay Leno
35,The capital of this country is,Philippines,this country,./A photo of Philippines
36,This individual specializes in the study of the,Frederick Banting,This individual,./A photo of Frederick Banting
37,"This musician, performing on the",Clifford Curzon,"This musician,",./A photo of Clifford Curzon
38,This format is a product developed by,Windows Media Audio,This format,./A photo of Windows Media Audio
39,The location of this university is in the heart of,Galatasaray University,this university,./A photo of Galatasaray University
40,"In this company, the language spoken is",Nokia,"this company,",./A photo of Nokia
41,This region follows the religion of,Northern Nigeria Protectorate,This region,./A photo of Northern Nigeria Protectorate
42,This religious movement follows the religion of,Deobandi,This religious,./A photo of Deobandi
43,This website was developed in the early 1990s by a group of,Odnoklassniki,This website,./A photo of Odnoklassniki
44,This person holds the position of the first,Zeno of Verona,This person,./A photo of Zeno of Verona
45,"This individual, who has a citizenship of",Jean-Pierre Van Rossem,"This individual,",./A photo of Jean-Pierre Van Rossem
46,This economist's domain of work is the,Joseph Schumpeter,This economist's,./A photo of Joseph Schumpeter
47,"This journalist, who works as a",Felix Salmon,"This journalist,",./A photo of Felix Salmon
48,The capital of this historical region is,Grand Duchy of Finland,this historical,./A photo of Grand Duchy of Finland
49,This company's previous owner is,Goodreads,This company's,./A photo of Goodreads
50,This river belongs to the continent of,Rhine,This river,./A photo of Rhine
51,This historical figure is affiliated with the religion of,Muawiyah I,This historical,./A photo of Muawiyah I
52,This ruler follows the religion of,Farrukhsiyar,This ruler,./A photo of Farrukhsiyar
53,This person follows the religion of,Ibn Khaldun,This person,./A photo of Ibn Khaldun
54,The capital of this government was,Vichy France,this government,./A photo of Vichy France
55,This person died in the city of,John Pym,This person,./A photo of John Pym
56,The genre written by this author is a mix of,Christopher Paolini,this author,./A photo of Christopher Paolini
57,This song is written in,Si la vie est cadeau,This song,./A photo of Si la vie est cadeau
58,This person works in the area of,Brian De Palma,This person,./A photo of Brian De Palma
59,This series was created in the country of,Magne Robo Gakeen,This series,./A photo of Magne Robo Gakeen
60,The language of this publication was a mixture of,Electricidad,this publication,./A photo of Electricidad
61,This company is headquartered in,Swedish Orphan Biovitrum,This company,./A photo of Swedish Orphan Biovitrum
62,This athlete professionally plays the sport of,Megan Rapinoe,This athlete,./A photo of Megan Rapinoe
63,This athlete plays as the,Drake Britton,This athlete,./A photo of Drake Britton
64,This series was created in the country of,Pandora Hearts,This series,./A photo of Pandora Hearts
65,This composer was born in the city of,Nicolas Gigault,This composer,./A photo of Nicolas Gigault
66,This socket is created by,LGA 775,This socket,./A photo of LGA 775
67,This film was created in the country of,Suite Habana,This film,./A photo of Suite Habana
68,This person was born in the city of,Emilia Rydberg,This person,./A photo of Emilia Rydberg
69,This filmmaker is employed by the,Adam Curtis,This filmmaker,./A photo of Adam Curtis
70,This athlete plays in the position of,Mark Sanchez,This athlete,./A photo of Mark Sanchez
71,This food was created in the country of,Danish pastry,This food,./A photo of Danish pastry
72,This newspaper is written in,Jyllands-Posten,This newspaper,./A photo of Jyllands-Posten
73,This person is a citizen of,Sachimi Iwao,This person,./A photo of Sachimi Iwao
74,This video game is developed by,Yakuza 2,This video,./A photo of Yakuza 2
75,The owner of this brand is,Lexus,this brand,./A photo of Lexus
76,"In this region, the language spoken is the",Yamalo-Nenets Autonomous Okrug,"this region,",./A photo of Yamalo-Nenets Autonomous Okrug
77,This organization works in the area of the,The Physiological Society,This organization,./A photo of The Physiological Society
78,This individual works in the area of,William Herschel,This individual,./A photo of William Herschel
79,This person worked in the city of,Joseph Goebbels,This person,./A photo of Joseph Goebbels
80,This company was formed in the year of,Deutsche Bahn,This company,./A photo of Deutsche Bahn
81,"This saint, who has the position of the",Saint Domnius,"This saint,",./A photo of Saint Domnius
82,The capital of this country is,Italy,this country,./A photo of Italy
83,This series premieres on,Hotel Room,This series,./A photo of Hotel Room
84,"This substance, called after the",caffeine,"This substance,",./A photo of caffeine
85,The headquarter of this company is in the city of,Lokalbahn AG,this company,./A photo of Lokalbahn AG
86,This glacier belongs to the continent of,Urdoviza Glacier,This glacier,./A photo of Urdoviza Glacier
87,This region belongs to the continent of,Manipur,This region,./A photo of Manipur
88,This event is in full swing in the,2005 Southeast Asian Games,This event,./A photo of 2005 Southeast Asian Games
89,This lake is situated in the province of,Lake Abitibi,This lake,./A photo of Lake Abitibi
90,This person's domain of work is the study of the history of the,Georgios Babiniotis,This person's,./A photo of Georgios Babiniotis
91,This person follows the religion of,Maumoon Abdul Gayoom,This person,./A photo of Maumoon Abdul Gayoom
92,The capital city of this country is,People's Republic of Poland,this country,./A photo of People's Republic of Poland
93,This person was born in the city of,Francesco Castellacci,This person,./A photo of Francesco Castellacci
94,This football club is located in the country of,Fluminense F.C.,This football,./A photo of Fluminense F.C.
95,This highway is the most popular route in,Bundesautobahn 113,This highway,./A photo of Bundesautobahn 113
