,question,director,main_entity,image_url
0,Name a movie directed by this director?,Ron Fricke,this director,./A photo of Ron Fricke
1,Name a movie directed by this director?,J. B. Rogers,this director,./A photo of J. B. Rogers
2,Name a movie directed by this director?,Joe Berlinger and Bruce Sinofsky,this director,./A photo of Joe Berlinger and Bruce Sinofsky
3,Name a movie directed by this director?,Sergei Vasilyev,this director,./A photo of Sergei Vasilyev
4,Name a movie directed by this director?,Jérôme Salle,this director,./A photo of Jérôme Salle
5,Name a movie directed by this director?,Trish Sie,this director,./A photo of Trish Sie
6,Name a movie directed by this director?,Panos Cosmatos,this director,./A photo of Panos Cosmatos
7,Name a movie directed by this director?,Menno Meyjes,this director,./A photo of Menno Meyjes
8,Name a movie directed by this director?,Percival C. Pearce,this director,./A photo of Percival C. Pearce
9,Name a movie directed by this director?,Quentin Tarantino,this director,./A photo of Quentin Tarantino
10,Name a movie directed by this director?,Jia Zhangke,this director,./A photo of Jia Zhangke
11,Name a movie directed by this director?,Lana Wachowski,this director,./A photo of Lana Wachowski
12,Name a movie directed by this director?,Glenn Jordan,this director,./A photo of Glenn Jordan
13,Name a movie directed by this director?,Anil Mehta,this director,./A photo of Anil Mehta
14,Name a movie directed by this director?,Alexandre Bustillo,this director,./A photo of Alexandre Bustillo
15,Name a movie directed by this director?,Martha Fiennes,this director,./A photo of Martha Fiennes
16,Name a movie directed by this director?,Joel Schumacher,this director,./A photo of Joel Schumacher
17,Name a movie directed by this director?,Dennis Hopper,this director,./A photo of Dennis Hopper
18,Name a movie directed by this director?,Carlos Saldanha,this director,./A photo of Carlos Saldanha
19,Name a movie directed by this director?,Risto Orko,this director,./A photo of Risto Orko
20,Name a movie directed by this director?,Jang Hoon,this director,./A photo of Jang Hoon
21,Name a movie directed by this director?,Ildikó Enyedi,this director,./A photo of Ildikó Enyedi
22,Name a movie directed by this director?,Franco Brusati,this director,./A photo of Franco Brusati
23,Name a movie directed by this director?,Mitsuyo Seo,this director,./A photo of Mitsuyo Seo
24,Name a movie directed by this director?,Tod Browning,this director,./A photo of Tod Browning
25,Name a movie directed by this director?,Yeon Sang-ho,this director,./A photo of Yeon Sang-ho
26,Name a movie directed by this director?,Jonathan King,this director,./A photo of Jonathan King
27,Name a movie directed by this director?,Park Hoon-jung,this director,./A photo of Park Hoon-jung
28,Name a movie directed by this director?,Lenny Abrahamson,this director,./A photo of Lenny Abrahamson
29,Name a movie directed by this director?,Christian Carion,this director,./A photo of Christian Carion
